食品番号,索引番号,食品名,水分,アミノ酸組成によるたんぱく質,たんぱく質,イソロイシン,ロイシン,リシン,メチオニン,シスチン,含硫アミノ酸合計,フェニルアラニン,チロシン,芳香族アミノ酸合計,スレオニン,トリプトファン,バリン,ヒスチジン,アルギニン,アラニン,アスパラギン酸,グルタミン酸,グリシン,プロリン,セリン,ヒドロキシプロリン,アミノ酸組成計,アンモニア,剰余アンモニア,備考
,,成分識別子,WATER,PROTCAA,PROT-,ILE ,LEU ,LYS,MET ,CYS ,AAS,PHE,TYR,AAA ,THR ,TRP ,VAL,HIS ,ARG,ALA ,ASP,GLU ,GLY,PRO,SER,HYP ,AAT,AMMON,AMMON-E,
,,単位,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,
01001,1,アマランサス 玄穀,13.5,11.3,12.7,550,820,700,210,180,390,510,310,820,520,170,640,360,990,750,1200,2100,1500,650,1100,0,13000,-,-,米国成分表より推計
01002,2,あわ 精白粒,13.3,10.2,11.2,480,1500,220,380,220,600,630,360,990,470,210,600,270,360,1000,800,2400,300,990,630,-,12000,340,-,"うるち、もちを含む
歩留り： 70～80 %"
01003,3,あわ あわもち,48.0,4.5,5.1,210,600,130,160,110,260,280,170,460,190,88,280,130,250,410,410,1000,170,380,260,-,5300,-,-,"原材料配合割合： もちあわ50、もち米50
01002あわ、01151もち米から推計"
01004,4,えんばく オートミール,10.0,12.2,13.7,590,1100,620,270,500,770,760,490,1300,500,200,800,350,910,670,1200,3000,750,810,700,-,14000,380,-,別名： オート、オーツ
01005,5,おおむぎ 七分つき押麦,14.0,9.7,10.9,410,830,390,190,300,490,610,370,980,430,160,580,260,510,430,640,2800,440,1400,540,-,11000,340,-,"歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
01006押麦から推計"
01006,6,おおむぎ 押麦 乾,12.7,5.9,6.7,250,500,240,120,180,300,370,230,600,260,97,350,160,310,260,390,1700,270,820,330,-,6900,210,-,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
01170,7,おおむぎ 押麦 めし,68.6,2.0,2.2,86,170,81,40,55,95,130,80,210,89,33,120,55,110,88,130,590,91,280,110,-,2300,70,-,乾35 g相当量を含む
01007,8,おおむぎ 米粒麦,14.0,6.2,7.0,270,530,250,120,190,320,390,240,630,280,100,370,170,330,270,410,1800,280,870,350,-,7200,220,-,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %
01006押麦から推計"
01008,9,おおむぎ 大麦めん 乾,14.0,11.7,12.9,480,950,360,230,340,570,690,420,1100,440,170,620,310,560,450,630,4100,510,1600,690,-,14000,480,-,"原材料配合割合： 大麦粉 50、小麦粉 50
01006押麦、01019小麦粉/中力粉/２等から推計"
01009,10,おおむぎ 大麦めん ゆで,70.0,4.4,4.8,180,350,130,84,130,210,260,160,410,170,62,230,120,210,170,240,1500,190,590,260,-,5000,180,-,"原材料配合割合： 大麦粉 50、小麦粉 50
01006押麦、01019小麦粉/中力粉/２等から推計"
01010,11,おおむぎ 麦こがし,3.5,11.1,12.5,480,950,450,220,340,560,700,430,1100,490,180,660,300,580,490,730,3300,510,1500,620,-,13000,390,-,"別名： こうせん、はったい粉
01006押麦から推計"
01167,12,キヌア 玄穀,12.2,9.7,13.4,480,810,720,260,210,470,510,380,880,500,170,590,380,1100,550,1100,1800,690,470,610,-,11000,210,-,
01011,13,きび 精白粒,13.8,10.0,11.3,470,1400,160,360,200,560,640,430,1100,380,150,570,260,350,1200,680,2500,250,810,790,-,12000,340,-,"うるち、もちを含む
歩留り： 70～80 %"
01012,14,こむぎ ［玄穀］ 国産 普通,12.5,9.5,10.8,390,760,320,180,270,450,530,330,860,360,160,510,290,550,410,570,3300,460,1100,590,-,11000,380,-,
01015,17,こむぎ ［小麦粉］ 薄力粉 1等,14.0,7.7,8.3,320,610,190,150,240,390,450,270,710,260,110,380,200,320,260,370,3000,310,1000,470,-,9000,350,-,
01016,18,こむぎ ［小麦粉］ 薄力粉 2等,14.0,8.3,9.3,340,650,220,160,240,400,480,280,760,280,110,410,220,370,290,420,3300,350,1100,490,-,9700,380,-,
01018,19,こむぎ ［小麦粉］ 中力粉 1等,14.0,8.3,9.0,340,650,190,160,240,400,470,290,760,280,110,400,210,340,270,380,3300,350,1100,500,-,9600,390,-,
01019,20,こむぎ ［小麦粉］ 中力粉 2等,14.0,8.9,9.7,360,700,220,170,250,420,500,310,810,300,110,430,230,400,300,410,3500,380,1200,550,-,10000,400,-,
01020,21,こむぎ ［小麦粉］ 強力粉 1等,14.5,11.0,11.8,440,850,240,200,300,500,650,370,1000,350,140,520,280,430,350,490,4500,440,1600,640,-,13000,540,-,
01021,22,こむぎ ［小麦粉］ 強力粉 2等,14.5,11.9,12.6,480,920,260,210,310,530,690,410,1100,390,150,560,300,480,380,520,4800,480,1700,730,-,14000,570,-,
01023,23,こむぎ ［小麦粉］ 強力粉 全粒粉,14.5,11.7,12.8,430,870,350,220,270,490,660,270,930,360,170,550,350,630,470,700,4200,550,2000,600,0,14000,-,-,米国成分表より推計
01146,24,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,9.8,9.0,10.1,360,680,230,140,210,350,480,300,790,300,110,420,240,390,300,440,3800,360,1100,500,-,10000,370,-,
01024,25,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,11.1,7.1,7.8,320,610,260,160,200,360,410,270,690,270,100,390,190,320,280,430,2500,280,880,460,0,8300,270,-,原材料配合割合から推計
01147,26,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,8.3,9.2,10.2,340,650,300,120,180,290,430,260,690,310,92,410,190,420,350,600,4400,330,800,470,-,11000,310,-,
01025,27,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,12.4,8.2,8.8,350,660,210,160,240,400,480,270,750,280,110,420,220,350,280,420,3200,320,1100,480,-,9500,360,-,
01171,28,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,65.5,3.0,3.3,130,240,78,57,88,140,170,98,270,95,39,150,80,130,100,150,1200,120,400,160,-,3400,-,-,"天ぷら粉39、水61
01025プレミックス粉/天ぷら用から推計"
01172,29,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター 揚げ,10.2,3.9,4.3,170,320,100,75,120,190,230,130,360,130,51,200,110,170,140,200,1500,160,520,210,-,4500,-,-,"別名： 揚げ玉、天かす
01025プレミックス粉/天ぷら用から推計"
01026,30,こむぎ ［パン類］ 角形食パン 食パン,39.2,7.4,8.9,310,590,170,120,190,310,440,270,710,240,90,360,200,290,250,340,3000,300,1000,400,-,8500,340,-,
01174,31,こむぎ ［パン類］ 角形食パン 焼き,33.6,8.3,9.7,350,670,180,130,210,340,490,300,800,280,100,400,220,320,270,370,3400,330,1200,460,-,9600,390,-,
01175,32,こむぎ ［パン類］ 角形食パン 耳を除いたもの,44.2,6.9,8.2,300,550,170,110,180,290,400,260,670,240,85,330,180,280,220,310,2700,270,970,420,-,8000,320,-,※ 耳の割合： 45 %、耳以外の割合 : 55 %
01028,37,こむぎ ［パン類］ コッペパン,37.0,7.3,8.5,310,580,170,120,180,300,430,260,690,260,90,360,200,290,260,360,2900,310,990,450,-,8500,330,-,
01030,38,こむぎ ［パン類］ 乾パン,5.5,8.7,9.5,370,700,240,170,240,410,510,310,810,300,120,440,230,360,300,440,3400,350,1200,520,-,10000,400,-,原材料配合割合から推計
01031,39,こむぎ ［パン類］ フランスパン,30.0,8.6,9.4,360,680,180,140,230,370,500,310,810,290,110,410,220,340,290,390,3400,360,1200,520,-,10000,390,-,
01032,40,こむぎ ［パン類］ ライ麦パン,35.0,6.7,8.4,280,520,220,110,180,290,380,230,620,290,83,380,190,330,330,480,2200,340,850,420,-,7800,270,-,主原料配合： ライ麦粉 50 %
01033,42,こむぎ ［パン類］ ぶどうパン,35.7,7.4,8.2,300,580,210,140,190,320,420,250,670,250,96,360,190,290,260,590,2800,290,990,430,-,8600,330,-,原材料配合割合から推計
01034,43,こむぎ ［パン類］ ロールパン,30.7,8.5,10.1,370,690,210,150,220,360,500,310,810,300,110,430,230,340,300,430,3300,350,1100,520,-,9900,370,-,原材料配合割合から推計
01035,45,こむぎ ［パン類］ クロワッサン リッチタイプ,20.0,7.3,7.9,300,570,190,140,190,330,430,250,680,250,93,360,190,290,250,350,2900,290,1000,430,-,8400,340,-,原材料配合割合から推計
01036,47,こむぎ ［パン類］ イングリッシュマフィン,46.0,7.4,8.1,310,580,190,140,200,340,440,260,690,250,96,360,190,300,260,360,2900,310,1000,440,-,8600,350,-,原材料配合割合から推計
01037,48,こむぎ ［パン類］ ナン,37.2,9.3,10.3,390,750,260,190,270,460,530,340,870,320,130,470,240,400,330,470,3500,380,1200,580,-,11000,410,-,原材料配合割合から推計
01148,49,こむぎ ［パン類］ ベーグル,32.3,8.2,9.6,350,650,170,130,210,340,480,290,780,280,100,400,220,330,280,380,3300,340,1100,490,-,9600,380,-,
01038,50,こむぎ ［うどん・そうめん類］ うどん 生,33.5,5.2,6.1,220,410,120,83,140,220,300,170,480,170,65,250,130,210,170,240,2100,210,720,320,-,6000,240,-,きしめん、ひもかわを含む
01039,51,こむぎ ［うどん・そうめん類］ うどん ゆで,75.0,2.3,2.6,94,180,51,40,53,93,130,82,210,73,27,110,57,93,72,99,910,92,310,140,-,2600,100,-,きしめん、ひもかわを含む
01186,52,こむぎ ［うどん・そうめん類］ うどん 半生うどん,23.8,6.6,7.8,280,530,150,110,170,280,390,220,610,220,83,320,170,270,210,300,2700,270,920,400,-,7700,310,-,01038うどん/生から推計
01041,53,こむぎ ［うどん・そうめん類］ 干しうどん 乾,13.5,8.0,8.5,320,630,180,130,210,340,460,280,730,270,99,380,200,320,250,370,3200,330,1100,500,-,9300,380,-,
01042,54,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,70.0,2.9,3.1,110,230,65,47,75,120,160,97,260,91,36,140,73,120,91,130,1200,120,390,160,-,3300,-,-,01041干しうどん/乾から推計
01043,55,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,12.5,8.8,9.5,370,700,190,150,230,370,510,320,830,290,110,430,230,360,280,400,3600,350,1200,520,-,10000,410,-,
01044,56,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,70.0,3.3,3.5,140,270,72,60,73,130,190,130,320,110,41,160,87,140,110,150,1300,130,460,200,-,3900,160,-,01045手延べそうめん/乾から推計
01045,57,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,14.0,8.6,9.3,350,690,200,130,220,350,490,300,800,290,110,410,220,360,290,400,3400,360,1200,540,-,10000,410,-,
01046,58,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,70.0,3.2,3.5,130,260,74,50,82,130,180,110,290,100,41,150,82,130,110,150,1300,130,440,180,-,3700,-,-,推計値？
01047,59,こむぎ ［中華めん類］ 中華めん 生,33.0,8.5,8.6,350,670,200,140,190,340,500,330,830,280,100,420,220,350,290,400,3400,340,1200,510,-,9800,390,-,
01048,60,こむぎ ［中華めん類］ 中華めん ゆで,65.0,4.8,4.9,200,380,110,81,110,190,290,190,470,160,58,240,120,200,160,230,1900,200,660,290,-,5600,220,-,01047中華めん/生から推計
01187,61,こむぎ ［中華めん類］ 半生中華めん ,23.7,9.8,9.9,410,770,230,160,220,390,580,380,960,320,120,480,250,400,330,460,3900,390,1300,580,-,11000,450,-,01047中華めん/生から推計
01049,62,こむぎ ［中華めん類］ 蒸し中華めん 蒸し中華めん,57.4,4.7,4.9,200,380,110,97,130,230,270,160,430,150,65,230,130,190,160,210,1800,200,670,280,-,5500,210,-,
01188,63,こむぎ ［中華めん類］ 蒸し中華めん  ソテー,50.4,5.1,5.2,220,400,110,100,140,250,290,170,460,170,70,250,140,200,180,230,2000,220,720,300,-,5900,230,-,01049蒸し中華めんから推計
01050,64,こむぎ ［中華めん類］ 干し中華めん 乾,14.7,11.5,11.7,480,910,270,190,260,460,680,450,1100,380,140,570,290,470,390,550,4600,460,1600,690,-,13000,530,-,01047中華めん/生から推計
01051,65,こむぎ ［中華めん類］ 干し中華めん ゆで,66.8,4.8,4.9,200,380,110,80,110,190,280,190,470,160,57,240,120,200,160,230,1900,190,660,290,-,5600,220,-,01047中華めん/生から推計
01052,66,こむぎ ［中華めん類］ 沖縄そば 生,32.3,9.1,9.2,380,720,210,150,210,360,540,350,890,300,110,450,230,370,310,430,3600,370,1200,540,-,11000,420,-,"別名：沖縄めん
01047中華めん/生から推計"
01053,67,こむぎ ［中華めん類］ 沖縄そば ゆで,65.5,5.1,5.2,210,410,120,86,120,200,300,200,500,170,61,250,130,210,170,240,2000,210,700,310,-,6000,240,-,"別名：沖縄めん
01047中華めん/生から推計"
01054,68,こむぎ ［中華めん類］ 干し沖縄そば 乾,13.7,11.9,12.0,490,930,280,200,270,470,700,460,1200,390,140,590,300,480,400,560,4700,480,1600,710,-,14000,550,-,"別名：沖縄めん
01047中華めん/生から推計"
01055,69,こむぎ ［中華めん類］ 干し沖縄そば ゆで,65.0,5.1,5.2,210,410,120,86,120,200,300,200,500,170,61,250,130,210,170,240,2000,210,700,310,-,6000,240,-,"別名：沖縄めん
01047中華めん/生から推計"
01056,70,こむぎ ［即席めん類］ 即席中華めん 油揚げ味付け,2.0,9.0,10.1,330,620,170,130,200,330,450,270,710,270,92,400,210,330,290,410,4300,350,1100,470,-,10000,350,-,"別名： インスタントラーメン
添付調味料等を含む"
01189,73,こむぎ ［即席めん類］ 即席中華めん 油揚げ ゆで （添付調味料等を含まないもの）,59.8,3.5,3.9,140,280,76,0,83,83,200,130,330,110,44,170,90,150,120,150,1400,140,480,220,-,4000,160,-,添付調味料等を含まない
01144,74,こむぎ ［即席めん類］ 即席中華めん 油揚げ 乾 （添付調味料等を含まないもの）,3.7,8.2,8.9,340,650,180,140,220,350,470,280,750,260,100,390,210,330,270,360,3300,330,1100,490,-,9500,370,-,調理前のもの、添付調味料等を除く
01190,77,こむぎ ［即席めん類］ 即席中華めん 非油揚げ ゆで （添付調味料等を含まないもの）,63.9,3.3,3.4,140,260,71,57,68,130,190,120,310,110,42,160,90,130,110,150,1300,130,430,210,-,3800,150,-,添付調味料等を含まない
01145,78,こむぎ ［即席めん類］ 即席中華めん 非油揚げ 乾 （添付調味料等を含まないもの）,10.7,7.9,8.5,330,630,180,130,200,320,460,280,730,260,100,380,210,320,260,350,3200,320,1100,480,-,9100,370,-,調理前のもの、添付調味料等を除く
01193,79,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 乾 （添付調味料等を含むもの）,5.3,9.5,10.9,360,680,300,150,200,340,460,300,760,320,100,420,230,440,410,530,4100,510,1000,530,-,11000,340,-,調理前のもの、添付調味料等を含む
01201,80,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後全体 （添付調味料等を含むもの）,79.8,2.1,2.5,82,150,68,33,44,77,100,67,170,71,23,95,52,99,92,120,930,120,230,120,-,2500,76,-,"添付調味料等を含む
01193中華スタイル即席カップめん、油揚げ、塩味、乾より推計
01193油揚げ/塩味/乾（添付調味料等を含むもの）から推計"
01194,81,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 塩味 調理後のめん （スープを残したもの）,62.0,3.3,3.8,130,250,69,53,67,120,180,110,290,110,38,150,83,130,120,150,1400,150,430,200,-,3900,150,-,添付調味料等を含む
01191,82,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 乾 （添付調味料等を含むもの）,9.7,8.3,10.0,320,600,240,130,170,310,420,260,680,270,93,370,200,370,320,450,3600,390,940,460,-,9600,310,-,調理前のもの、添付調味料等を含む
01200,83,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後全体 （添付調味料等を含むもの）,80.8,2.0,2.3,75,140,58,31,41,72,98,62,160,64,22,88,46,87,75,110,850,91,220,110,-,2300,74,-,"添付調味料等を含む
01191中華スタイル即席カップめん、油揚げ、しょうゆ味、乾より推計
01191油揚げ/しょうゆ味/乾（添付調味料等を含むもの）から推計"
01192,84,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ しょうゆ味 調理後のめん （スープを残したもの）,69.1,2.6,3.0,100,190,56,41,50,91,140,91,230,81,31,120,64,110,86,110,1100,110,330,150,-,3000,110,-,添付調味料等を含む
01060,85,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 乾 （添付調味料等を含むもの）,11.1,6.9,8.2,280,530,170,100,160,270,380,220,600,220,79,330,180,290,250,340,2900,300,880,400,-,8000,300,-,"別名： カップ焼きそば
調理前のもの、添付調味料等を含む"
01202,86,こむぎ ［即席めん類］ 中華スタイル即席カップめん 油揚げ 焼きそば 調理後全体 （添付調味料等を含むもの）,53.6,4.2,5.0,170,320,100,63,100,160,230,130,360,140,48,200,110,180,150,210,1800,180,540,250,-,4900,180,-,"添付調味料等を含む
01060中華スタイル即席カップめん、油揚げ、焼きそば、乾より推計
01060油揚げ/焼きそば/乾（添付調味料等を含むもの）から推計"
01061,87,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 乾 （添付調味料等を含むもの）,15.2,7.7,9.2,290,550,250,130,140,260,380,230,610,260,80,350,200,370,360,450,3200,460,840,420,-,9000,280,-,"別名： カップラーメン
調理前のもの、添付調味料等を含む"
01203,88,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後全体 （添付調味料等を含むもの）,83.5,2.1,2.5,78,150,67,34,36,70,100,61,160,69,21,94,54,99,96,120,850,120,220,110,-,2400,74,-,"添付調味料等を含む
01061中華スタイル即席カップめん、非油揚げ、乾より推計
01061非油揚げ/乾（添付調味料等を含むもの）から推計"
01195,89,こむぎ ［即席めん類］ 中華スタイル即席カップめん 非油揚げ 調理後のめん （スープを残したもの）,68.8,2.9,3.4,110,220,70,47,51,98,160,100,260,94,34,130,76,120,110,140,1200,130,360,170,-,3300,130,-,添付調味料等を含む
01062,90,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 乾 （添付調味料等を含むもの）,6.2,9.6,10.9,400,730,340,140,190,330,500,320,820,330,110,450,270,460,370,640,3900,420,980,540,-,11000,340,-,"別名： カップうどん
調理前のもの、添付調味料等を含む"
01204,91,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後全体 （添付調味料等を含むもの）,80.5,1.9,2.2,79,140,68,27,37,64,100,64,160,66,22,89,52,91,73,130,780,82,190,110,-,2200,67,-,"添付調味料等を含む
01062和風スタイル即席カップめん、油揚げ、乾より推計
01062油揚げ/乾（添付調味料等を含むもの）から推計"
01196,92,こむぎ ［即席めん類］ 和風スタイル即席カップめん 油揚げ 調理後のめん （スープを残したもの）,64.4,2.4,2.7,94,180,55,40,49,89,130,84,220,77,28,110,66,97,78,100,1000,98,300,140,-,2800,110,-,添付調味料等を含む
01063,93,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ 乾,11.3,12.0,12.9,510,1000,260,220,310,530,700,390,1100,410,150,620,360,520,410,600,4700,450,1600,750,-,14000,580,-,
01064,94,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ゆで,60.0,5.3,5.8,230,450,120,100,130,230,310,180,490,180,64,270,150,230,180,250,2100,190,730,330,-,6200,240,-,1.5 %食塩水でゆでた場合
01173,95,こむぎ ［マカロニ・スパゲッティ類］ マカロニ・スパゲッティ ソテー,57.0,5.1,5.5,220,430,110,95,130,230,300,170,460,170,65,260,150,220,170,260,2000,190,670,320,-,5900,240,-,原材料配合割合： マカロニ・スパゲッティゆで95、なたね油5
01149,96,こむぎ ［マカロニ・スパゲッティ類］ 生パスタ 生,42.0,7.5,7.8,310,620,200,130,170,300,440,270,710,260,93,380,200,320,270,390,2900,290,980,480,-,8600,330,-,デュラム小麦100 %以外のものも含む
01065,97,こむぎ ［ふ類］ 生ふ,60.0,11.7,12.7,510,960,220,230,370,600,700,410,1100,350,150,550,300,450,380,490,4700,470,1700,600,-,14000,-,-,01066観世ふから推計
01066,98,こむぎ ［ふ類］ 焼きふ 釜焼きふ,11.3,26.8,28.5,1200,2200,500,510,840,1400,1600,970,2600,860,330,1300,690,1000,860,1100,11000,1100,3900,1500,-,31000,1200,-,平釜焼きふ（小町ふ、切りふ、おつゆふ等）及び型釜焼きふ（花ふ等）
01067,99,こむぎ ［ふ類］ 焼きふ 板ふ,12.5,23.6,25.6,1000,1900,450,460,750,1200,1400,830,2200,710,300,1100,610,900,770,980,9600,940,3400,1200,-,27000,-,-,01066観世ふから推計
01068,100,こむぎ ［ふ類］ 焼きふ 車ふ,11.4,27.8,30.2,1200,2300,530,540,880,1400,1700,980,2700,840,350,1300,720,1100,900,1200,11000,1100,4100,1400,-,32000,-,-,01066観世ふから推計
01070,102,こむぎ ［その他］ 小麦はいが,3.6,26.5,32.0,1100,2100,2200,590,470,1100,1300,850,2200,1400,350,1700,860,2800,2100,2900,5000,2000,1600,1500,-,31000,630,-,試料： 焙焼品
