,,,水分,単糖当量,でん粉,ぶどう糖,果糖,ガラクトース,しょ糖,麦芽糖,乳糖,トレハロース,計,ソルビトール,マンニトール,備考
,,成分識別子,WATER,CHOAVLM,STARCH,GLUS,FRUS,GALS,SUCS,MALS,LACS,TRES,CHOAVL,SORTL,MANTL,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
1001,1,アマランサス 玄穀,13.5,63.5,56.4,Tr,Tr,-,1.3,0,0,0,57.8,-,-,
1002,2,あわ 精白粒,13.3,69.6,62.2,0,-,-,1.0,0.1,0,0,63.3,0,-,"うるち、もちを含む
歩留り： 70～80 %"
1003,3,あわ あわもち,48.0,-44.5,-40.1,0,-,-,-0.4,Tr,0,0,-40.5,-,-,"原材料配合割合： もちあわ50、もち米50
01002あわ及び01151もち米から推計"
1004,4,えんばく オートミール,10.0,63.1,56.3,0,Tr,-,1.0,0,0,0,57.4,-,-,別名： オート、オーツ
1005,5,おおむぎ 七分つき押麦,14.0,-71.3,-64.4,Tr,-0.1,0,-0.3,-0.1,0,0,-64.9,-,-,"歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
01006押麦から推計"
1006,6,おおむぎ 押麦 乾,12.7,72.4,65.4,Tr,0.1,Tr,0.3,0.1,0,0,65.8,-,-,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
1170,7,おおむぎ 押麦 めし,68.6,24.2,22.0,0,0,-,0,0,0,0,22.0,-,-,乾35 g相当量を含む
1007,8,おおむぎ 米粒麦,14.0,68.8,62.1,Tr,Tr,-,0.3,0.1,0,0,62.5,-,-,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %"
1008,9,おおむぎ 大麦めん 乾,14.0,-72.2,-65.3,Tr,Tr,0,-0.3,-0.1,0,0,-65.7,-,-,"原材料配合割合： 大麦粉 50、小麦粉 50
01006押麦及び01019中力粉2等から推計"
1009,10,おおむぎ 大麦めん ゆで,70.0,-25.2,-22.8,0,Tr,0,-0.1,Tr,0,0,-22.9,-,-,"原材料配合割合： 大麦粉 50、小麦粉 50
01006押麦及び01019中力粉2等から推計"
1010,11,おおむぎ 麦こがし,3.5,-80.1,-72.3,Tr,-0.1,Tr,-0.3,-0.1,0,0,-72.8,-,-,"別名： こうせん、はったい粉
01006押麦から推計"
1167,12,キヌア 玄穀,12.2,60.7,52.3,0.7,0.1,0,2.3,0,-,-,55.4,-,-,
1011,13,きび 精白粒,13.8,71.5,64.5,0.1,-,-,0.5,0,0,0,65.0,0.1,-,"うるち、もちを含む
歩留り： 70～80 %"
1012,14,こむぎ ［玄穀］ 国産 普通,12.5,64.3,57.5,0.1,0,-,0.9,0.1,0,0,58.5,-,-,
