食品番号,索引番号,食品名,水分,トリアシルグリセロール当量,脂質,脂肪酸総量,飽和脂肪酸,一価不飽和脂肪酸,多価不飽和脂肪酸,n-3系多価不飽脂肪酸,n-6系多価不飽和脂肪酸,4:0酪酸,6:0ヘキサン酸,7:0ヘプタン酸,8:0オクタン酸,10:0デカン酸,12:0ラウリン酸,13:0トリデカン酸,14:0ミリスチン酸,15:0ペンタデカン酸,15:0 antペンタデカン酸,16:0パルミチン酸,16:0 isoパルミチン酸,17:0ヘプタデカン酸,17:0 antヘプタデカン酸,18:0ステアリン酸,20:0アラキジン酸,22:0ベヘン酸,24:0リグノセリン酸,10:1デセン酸,14:1ミリストレイン酸,15:1ペンタデセン酸,16:1パルミトレイン酸,17:1ヘプタデセン酸,18:1計,18:1 n-9オレイン酸,18:1 n-7シス-バクセン酸,20:1イコセン酸,22:1ドコセン酸,24:1テトラコセン酸,16:2ヘキサデカジエン酸,16:3ヘキサデカトリエン酸,16:4ヘキサデカテトラエン酸,18:2 n-6リノール酸,18:3 n-3α‐リノレン酸,18:3 n-6γ‐リノレン酸,18:4 n-3オクタデカテトラエン酸,20:2 n-6イコサジエン酸,20:3 n-3イコサトリエン酸,20:3 n-6イコサトリエン酸,20:4 n-3イコサテトラエン酸,20:4 n-6アラキドン酸,20:5 n-3イコサペンタエン酸,21:5 n-3ヘンイコサペンタエン酸,22:2ドコサジエン酸,22:4 n-6ドコサテトラエン酸,22:5 n-3 ドコサペンタエン酸,22:5 n-6ドコサペンタエン酸,22:6 n-3ドコサヘキサエン酸,未同定物質,備考
,,成分識別子,WATER,FATNLEA,FAT-,FACID,FASAT,FAMS,FAPU,FAPUN3,FAPUN6,F4D0,F6D0,F7D0,F8D0,F10D0,F12D0,F13D0,F14D0,F15D0,F15D0AI,F16D0,F16D0I,F17D0,F17D0AI,F18D0,F20D0,F22D0,F24D0,F10D1,F14D1,F15D1,F16D1,F17D1,F18D1,F18D1CN9,F18D1CN7,F20D1,F22D1,F24D1,F16D2,F16D3,F16D4,F18D2N6,F18D3N3,F18D3N6,F18D4N3,F20D2N6,F20D3N3,F20D3N6,F20D4N3,F20D4N6,F20D5N3,F21D5N3,F22D2,F22D4N6,F22D5N3,F22D5N6,F22D6N3,FAUN,
,,単 位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,mg/100 g,
01001,1,アマランサス 玄穀,13.5,5.0,6.0,4.75,1.18,1.48,2.10,0.04,2.06,-,-,-,-,0,0,-,9,3,-,940,-,5,-,150,36,16,15,0,0,0,7,3,1500,-,-,12,2,0,0,0,0,2000,36,14,0,0,-,0,0,0,0,0,0,0,0,0,0,-,
01002,2,あわ 精白粒,13.3,4.1,4.4,3.94,0.67,0.52,2.75,0.12,2.63,-,-,-,-,0,0,-,2,4,-,410,-,5,-,160,51,25,10,0,0,0,3,0,500,480,18,19,0,0,0,0,0,2600,120,0,0,3,-,4,0,0,0,0,0,0,0,0,0,-,"うるち、もちを含む
歩留り： 70～80 %"
01003,3,あわ あわもち,48.0,1.2,1.3,1.14,0.22,0.19,0.73,0.03,0.70,-,-,-,-,0,0,-,3,1,-,150,-,1,-,42,13,6,4,0,0,0,1,0,180,-,-,5,Tr,0,0,0,0,700,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-,"原材料配合割合： もちあわ50、もち米50
原材料配合割合から推計"
01004,4,えんばく オートミール,10.0,5.1,5.7,4.90,1.01,1.80,2.09,0.09,2.00,-,-,-,-,-,20,-,12,-,-,850,-,-,-,54,-,-,-,-,-,-,11,-,1800,-,-,-,-,-,-,-,-,2000,92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"別名： オート、オーツ
米国成分表から推計"
01005,5,おおむぎ 七分つき押麦,14.0,1.8,2.1,1.69,0.58,0.20,0.91,0.05,0.86,-,-,-,-,0,1,-,8,1,-,530,-,2,-,25,2,7,1,-,0,-,1,0,170,-,-,10,17,0,-,-,-,860,54,-,-,Tr,-,-,-,-,-,-,-,-,-,-,-,4,歩留り： 玄皮麦60～65 %、玄裸麦65～70 %
01006,6,おおむぎ 押麦 乾,12.7,1.2,1.5,1.18,0.43,0.13,0.62,0.03,0.59,-,-,-,-,0,Tr,-,6,1,-,390,-,1,-,22,2,2,3,0,0,0,1,0,110,99,7,6,11,2,0,0,0,590,33,0,0,1,-,0,0,0,0,0,0,0,0,0,0,54,歩留り： 玄皮麦45～55 %、玄裸麦55～65 %
01170,7,おおむぎ 押麦 めし,68.6,0.4,0.5,0.38,0.14,0.04,0.20,0.01,0.19,-,-,-,-,0,0,-,2,Tr,-,130,-,Tr,-,8,1,1,1,0,0,0,Tr,0,33,31,2,2,4,Tr,0,0,0,190,10,0,0,Tr,-,0,0,0,0,0,0,0,0,0,0,18,乾35 g相当量を含む
01007,8,おおむぎ 米粒麦,14.0,1.8,2.1,1.69,0.58,0.20,0.91,0.05,0.86,-,-,-,-,0,1,-,8,1,-,530,-,2,-,25,2,7,1,-,0,-,1,0,170,-,-,10,17,0,-,-,-,860,54,-,-,Tr,0,-,-,-,-,-,-,-,-,-,-,4,"別名： 切断麦
白麦を含む
歩留り： 玄皮麦40～50 %、玄裸麦50～60 %
01005七分つき押麦から推計"
