,,食品名,水分,水溶性食物繊維,不溶性食物繊維,食物繊維総量,低分子量水溶性食物繊維,高分子量水溶性食物繊維,不溶性食物繊維,難消化性でん粉,食物繊維総量,備考
,,成分識別子,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
01001,1,アマランサス 玄穀,13.5,1.1,6.3,7.4,-,-,-,-,-,
01002,2,あわ 精白粒,13.3,0.4,2.9,3.3,-,-,-,-,-,
01003,3,あわ あわもち,48.0,0,1.5,1.5,-,-,-,-,-,
01004,4,えんばく オートミール,10.0,3.2,6.2,9.4,-,-,-,-,-,
01005,5,おおむぎ 七分つき押麦,14.0,6.3,4.0,10.3,-,-,-,-,-,
01006,6,おおむぎ 押麦 乾,12.7,4.3,3.6,7.9,2.4,4.3,5.5,0.4,12.2,
01170,7,おおむぎ 押麦 めし,68.6,-,-,-,0.6,1.5,2.1,0.5,4.2,
01007,8,おおむぎ 米粒麦,14.0,6.0,2.7,8.7,-,-,-,-,-,
01008,9,おおむぎ 大麦めん 乾,14.0,3.6,2.7,6.3,-,-,-,-,-,
01009,10,おおむぎ 大麦めん ゆで,70.0,1.2,1.3,2.5,-,-,-,-,-,
01010,11,おおむぎ 麦こがし,3.5,5.2,10.3,15.5,-,-,-,-,-,
01167,12,キヌア 玄穀,12.2,1.5,4.7,6.2,-,-,-,-,-,
01011,13,きび 精白粒,13.8,Tr,1.6,1.6,-,-,-,-,-,
01012,14,こむぎ ［玄穀］ 国産 普通,12.5,0.5,10.0,10.5,3.3,1.8,8.9,0.4,14.0,
01013,15,こむぎ ［玄穀］ 輸入 軟質,10.0,1.4,9.8,11.2,-,-,-,-,-,
01014,16,こむぎ ［玄穀］ 輸入 硬質,13.0,1.5,9.9,11.4,-,-,-,-,-,
01015,17,こむぎ ［小麦粉］ 薄力粉 1等,14.0,1.2,1.3,2.5,-,-,-,-,-,
01016,18,こむぎ ［小麦粉］ 薄力粉 2等,14.0,1.1,1.5,2.6,-,-,-,-,-,
01018,19,こむぎ ［小麦粉］ 中力粉 1等,14.0,1.2,1.6,2.8,-,-,-,-,-,
01019,20,こむぎ ［小麦粉］ 中力粉 2等,14.0,0.9,1.2,2.1,-,-,-,-,-,
01020,21,こむぎ ［小麦粉］ 強力粉 1等,14.5,1.2,1.5,2.7,-,-,-,-,-,
01021,22,こむぎ ［小麦粉］ 強力粉 2等,14.5,0.9,1.2,2.1,-,-,-,-,-,
01023,23,こむぎ ［小麦粉］ 強力粉 全粒粉,14.5,1.5,9.7,11.2,-,-,-,-,-,
01146,24,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,9.8,1.7,1.1,2.8,-,-,-,-,-,
01024,25,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,11.1,0.9,1.0,1.8,-,-,-,-,-,
01147,26,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,8.3,1.4,1.2,2.6,-,-,-,-,-,
01025,27,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,12.4,1.5,1.0,2.5,-,-,-,-,-,
01171,28,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,65.5,0.6,0.4,1.0,0.7,0.7,0.5,0.3,1.9,
01172,29,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター 揚げ,10.2,-,-,-,1.5,0.6,1.2,0.3,3.3,
01026,30,こむぎ ［パン類］ 角形食パン 食パン,39.2,0.4,1.9,2.2,1.0,0.9,2.3,1.1,4.2,
01174,31,こむぎ ［パン類］ 角形食パン 焼き,33.6,-,-,-,1.2,0.9,2.5,1.3,4.6,
01175,32,こむぎ ［パン類］ 角形食パン 耳を除いたもの,44.2,-,-,-,0.9,0.9,2.0,1.2,3.8,
01176,33,こむぎ ［パン類］ 角形食パン 耳,33.5,-,-,-,1.1,0.9,2.7,0.9,4.7,
01206,34,こむぎ ［パン類］ 食パン リーンタイプ,39.2,0.8,1.1,1.8,-,-,-,-,-,
01207,35,こむぎ ［パン類］ 食パン リッチタイプ,39.2,0.8,1.2,2.0,-,-,-,-,-,
01205,36,こむぎ ［パン類］ 山形食パン 食パン,39.2,0.7,1.0,1.7,-,-,-,-,-,
01028,37,こむぎ ［パン類］ コッペパン,37.0,1.0,1.0,2.0,-,-,-,-,-,
01030,38,こむぎ ［パン類］ 乾パン,5.5,1.8,1.3,3.1,-,-,-,-,-,
01031,39,こむぎ ［パン類］ フランスパン,30.0,1.2,1.5,2.7,-,-,-,-,-,
01032,40,こむぎ ［パン類］ ライ麦パン,35.0,2.0,3.6,5.6,-,-,-,-,-,
01208,41,こむぎ ［パン類］ 全粒粉パン,39.2,0.9,3.6,4.5,-,-,-,-,-,
01033,42,こむぎ ［パン類］ ぶどうパン,35.7,0.9,1.3,2.2,-,-,-,-,-,
01034,43,こむぎ ［パン類］ ロールパン,30.7,1.0,1.0,2.0,-,-,-,-,-,
01209,44,こむぎ ［パン類］ クロワッサン レギュラータイプ,20.0,0.7,1.2,1.9,-,-,-,-,-,
01035,45,こむぎ ［パン類］ クロワッサン リッチタイプ,20.0,0.9,0.9,1.8,-,-,-,-,-,
01210,46,こむぎ ［パン類］ くるみパン,39.2,0.6,1.7,2.4,-,-,-,-,-,
01036,47,こむぎ ［パン類］ イングリッシュマフィン,46.0,0.2,1.0,1.2,-,-,-,-,-,
01037,48,こむぎ ［パン類］ ナン,37.2,0.8,1.2,2.0,-,-,-,-,-,
01148,49,こむぎ ［パン類］ ベーグル,32.3,1.2,1.3,2.5,-,-,-,-,-,
01038,50,こむぎ ［うどん・そうめん類］ うどん 生,33.5,-,-,-,1.7,1.1,0.8,0.3,3.6,
01039,51,こむぎ ［うどん・そうめん類］ うどん ゆで,75.0,-,-,-,0.6,0.4,0.3,0.1,1.3,
01186,52,こむぎ ［うどん・そうめん類］ うどん 半生うどん,23.8,0.5,0.8,1.3,1.9,1.3,0.9,0.3,4.1,
01041,53,こむぎ ［うどん・そうめん類］ 干しうどん 乾,13.5,0.6,1.8,2.4,-,-,-,-,-,
01042,54,こむぎ ［うどん・そうめん類］ 干しうどん ゆで,70.0,0.3,0.4,0.7,-,-,-,-,-,
01043,55,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ 乾,12.5,0.7,1.8,2.5,-,-,-,-,-,
01044,56,こむぎ ［うどん・そうめん類］ そうめん・ひやむぎ ゆで,70.0,0.3,0.6,0.9,-,-,-,-,-,
01045,57,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ 乾,14.0,1.2,0.6,1.8,-,-,-,-,-,
01046,58,こむぎ ［うどん・そうめん類］ 手延そうめん・手延ひやむぎ ゆで,70.0,0.5,0.5,1.0,-,-,-,-,-,
